Source,Interaction,Target 
or,Attribute,is
silly,Attribute,is
children,Attribute,is
a,Attribute,is
a,Attribute,is
paper,Attribute,is
and,Attribute,is
toys,Attribute,are
tub,Attribute,are
a,Attribute,is
one,Attribute,is
good,Attribute,is
quiet,Attribute,be
where,Attribute,is
done,Attribute,are
what,Attribute,was
my,Attribute,be
kind,Attribute,is
real,Attribute,is
long,Attribute,is
our,Attribute,is
done,Attribute,is
smaller,Attribute,is
crazy,Attribute,looks
the,Attribute,is
a,Attribute,is
funny,Attribute,looked
happy,Attribute,was
are,Complement,like
making,Complement,are
cake,Complement,a
a,Complement,or
dad,Complement,a
a,Complement,or
grandpa,Complement,a
a,Complement,and
girl,Complement,a
a,Complement,and
boy,Complement,a
kind,Complement,some
cake,Complement,or
or,Complement,of
something,Complement,or
boy,Complement,the
is,Complement,and
pouring,Complement,is
batter,Complement,the
a,Complement,into
bowl,Complement,a
are,Complement,and
making,Complement,are
else,Complement,something
picture,Complement,that
playing,Complement,and
a,Complement,on
slide,Complement,a
swinging,Complement,and
swings,Complement,in
is,Complement,and
park,Complement,a
trees,Complement,of
like,Complement,looks
a,Complement,like
bag,Complement,a
me,Complement,to
minute,Complement,a
thing,Complement,one
there,Complement,in
box,Complement,a
is,Complement,and
bag,Complement,a
a,Complement,and
napkin,Complement,a
some,Complement,and
straw+paper,Complement,some
cup,Complement,a
french+fry,Complement,box
set,Complement,another
silverware,Complement,of
the,Complement,in
plastic,Complement,the
lid,Complement,a
a,Complement,and
box,Complement,a
a,Complement,and
straw,Complement,a
lunch,Complement,for
put,Complement,can
trash,Complement,this
there,Complement,in
plastic,Complement,of
get,Complement,and
you,Complement,for
go,Complement,and
sit,Complement,go
go,Complement,and
lunch,Complement,your
dinner,Complement,your
get,Complement,and
sit,Complement,get
eat,Complement,and
done,Complement,are
wash+cloth,Complement,a
like,Complement,looks
fairly,Complement,a
an,Complement,and
box,Complement,an
something,Complement,of
powder,Complement,and
shampoo,Complement,and
soap,Complement,and
a,Complement,and
soap,Complement,a
bag,Complement,a
check,Complement,let
sort,Complement,of
the,Complement,in
bathroom,Complement,the
room,Complement,or
things,Complement,or
towels,Complement,these
rough,Complement,and
stiff,Complement,and
clothes,Complement,your
water,Complement,the
and,Complement,run
take,Complement,and
wash,Complement,in
get,Complement,and
put,Complement,and
your,Complement,or
pjs,Complement,your
something,Complement,or
that,Complement,like
barn,Complement,a
the,Complement,with
trough,Complement,the
bag,Complement,this
doing,Complement,is
there,Complement,in
horse,Complement,the
there,Complement,in
horse,Complement,the
fence,Complement,some
trough,Complement,a
the,Complement,for
horsie,Complement,the
eat,Complement,to
sheep,Complement,a
a,Complement,and
dog,Complement,a
a,Complement,and
cow,Complement,a
the,Complement,and
horse,Complement,the
the,Complement,and
cow,Complement,the
eat,Complement,to
jumping,Complement,started
yipping,Complement,and
scratching,Complement,and
eating,Complement,started
garden,Complement,the
cow,Complement,the
and,Complement,looked
the,Complement,and
horse,Complement,the
cow,Complement,the
horse,Complement,the
neighed,Complement,and
their,Complement,for
masters,Complement,their
eating,Complement,are
garden,Complement,my
garden,Complement,my
cabbage,Complement,that
one,Complement,my
plant,Complement,gotta
garden,Complement,a
again,Complement,all
worked,Complement,and
this,Complement,on
help,Complement,to
make,Complement,help
finish,Complement,make
garden,Complement,my
dirt,Complement,the
is,Complement,for
thing,Complement,one
dog,Complement,the
legs,Complement,on
planting,Complement,start
will,Complement,but
feed,Complement,will
chickens,Complement,the
sheep,Complement,the
eat,Complement,can
mind,Complement,would
helping,Complement,mind
plant,Complement,helping
garden,Complement,my
ate,Complement,and
go,Complement,to
and,Complement,decided
get,Complement,and
seeds,Complement,some
walk,Complement,and
get,Complement,and
more,Complement,some
there,Complement,on
the,Complement,all
seeds,Complement,the
go,Complement,let
old,Complement,the
monkey,Complement,the
garden,Complement,the
grew,Complement,and
a,Complement,into
garden,Complement,a
end,Complement,the
be,Complement,might
puff,Complement,my
a,Complement,of
animal,Complement,a
got,Complement,and
schnauzer,Complement,a
schnapps,Complement,named
mom,Complement,'s
call,Complement,would
fur,Complement,his
know,Complement,do
Aunt,Complement,an
is,Complement,but
aunt,Complement,our
know,Complement,do
to,Complement,supposed
draw,Complement,to
picture,Complement,a
draw,Complement,wanna
draw,Complement,wanna
picture,Complement,a
picture,Complement,a
anything,Complement,of
gonna,Complement,am
draw,Complement,gonna
picture,Complement,a
what,Complement,for
waiting,Complement,are
drawing,Complement,start
drawing,Complement,are
give,Complement,will
tail,Complement,a
tail,Complement,a
could,Complement,and
have,Complement,could
pushed,Complement,have
used,Complement,and
done,Complement,is
his,Complement,with
picture,Complement,his
know,Complement,do
couple,Complement,a
trees,Complement,of
it,Complement,around
white,Complement,the
make,Complement,wanna
sun,Complement,a
a,Complement,or
yellow,Complement,a
think,Complement,do
dad,Complement,'s
picture,Complement,of
holding,Complement,am
going,Complement,am
finish,Complement,to
part,Complement,that
her,Complement,on
face,Complement,her
see,Complement,can
eyes,Complement,her
draw,Complement,will
sky,Complement,the
a,Complement,and
sun,Complement,a
gonna,Complement,am
make,Complement,gonna
grass,Complement,some
some,Complement,with
flowers,Complement,some
gonna,Complement,am
make,Complement,gonna
rose,Complement,a
Bell,Complement,than
make,Complement,will
here,Complement,over
will,Complement,and
make,Complement,will
color,Complement,this
make,Complement,will
one,Complement,an
see,Complement,can
flower,Complement,the
her,Complement,on
back,Complement,her
turn,Complement,hafta
and,Complement,hafta
draw,Complement,and
leaves,Complement,the
done,Complement,am
a,Complement,without
mane,Complement,a
wind,Complement,the
day,Complement,some
day,Complement,a
boy,Complement,a
Max,Complement,named
day,Complement,one
dog,Complement,his
go,Complement,to
catching,Complement,go
think,Complement,do
frog,Complement,a
ran,Complement,and
did,Complement,and
see,Complement,did
tree,Complement,the
the,Complement,into
water,Complement,the
head,Complement,first
the,Complement,at
frog,Complement,the
frog,Complement,the
jumped,Complement,but
day,Complement,one
walking,Complement,was
school,Complement,from
lady,Complement,a
wind,Complement,the
blew,Complement,and
the,Complement,all
letters,Complement,the
blew,Complement,and
the,Complement,into
street,Complement,the
get,Complement,will
you,Complement,for
looked,Complement,and
ways,Complement,both
saw,Complement,and
coming,Complement,was
went,Complement,and
picked,Complement,and
the,Complement,all
letters,Complement,the
lady,Complement,the
get,Complement,to
letters,Complement,her
like,Modifier,looks
of,Modifier,kind
into,Modifier,pouring
then,Modifier,are
why,Modifier,is
so,Modifier,silly
on,Modifier,playing
and,Modifier,children
in,Modifier,swinging
pretty,Modifier,park
of,Modifier,lots
green,Modifier,trees
pretty,Modifier,trees
green,Modifier,trees
trash,Modifier,bag
to,Modifier,looks
more,Modifier,thing
in,Modifier,is
happy+meal,Modifier,box
here,Modifier,is
of,Modifier,set
Chicken_Mcnugget,Modifier,box
for,Modifier,bought
now,Modifier,can
in,Modifier,can
now,Modifier,can
of,Modifier,pieces
first,Modifier,order
then,Modifier,get
for,Modifier,get
down,Modifier,sit
then,Modifier,eat
then,Modifier,go
then,Modifier,play
before,Modifier,get
then,Modifier,get
down,Modifier,sit
then,Modifier,eat
when,Modifier,are
away,Modifier,throw
empty,Modifier,box
of,Modifier,box
baby,Modifier,powder
little,Modifier,bitty
bitty,Modifier,soap
not,Modifier,is
trash,Modifier,bag
out,Modifier,check
of,Modifier,cream
like,Modifier,cream
too,Modifier,looks
not,Modifier,are
bath,Modifier,tub
bath,Modifier,room
bath,Modifier,things
and,Modifier,feel
first,Modifier,take
off,Modifier,take
first,Modifier,run
then,Modifier,take
then,Modifier,get
in,Modifier,get
out,Modifier,get
off,Modifier,dry
dressed,Modifier,get
then,Modifier,put
like,Modifier,something
big,Modifier,barn
red,Modifier,barn
in,Modifier,are
there,Modifier,in
in,Modifier,doing
whatever,Modifier,this
in,Modifier,is
black,Modifier,horse
for,Modifier,is
to,Modifier,horsie
first,Modifier,need
around,Modifier,jumping
and,Modifier,jumping
up,Modifier,eating
up,Modifier,looked
when,Modifier,heard
for,Modifier,calling
when,Modifier,came
out,Modifier,came
away,Modifier,get
up,Modifier,eating
fresh,Modifier,garden
fresh,Modifier,garden
myself,Modifier,planted
back,Modifier,give
last,Modifier,one
now,Modifier,shoot
all,Modifier,gotta
over,Modifier,again
hard,Modifier,worked
on,Modifier,worked
here,Modifier,come
up,Modifier,dig
for,Modifier,is
up,Modifier,stand
no,Modifier,wonder
on,Modifier,standing
three,Modifier,legs
now,Modifier,start
better,Modifier,start
but,Modifier,start
first,Modifier,will
squawking,Modifier,hen
now,Modifier,can
inside,Modifier,eat
where,Modifier,eats
old,Modifier,monkey
not,Modifier,why
to,Modifier,decided
over,Modifier,go
over,Modifier,walk
here,Modifier,walk
that,Modifier,was
on,Modifier,was
cool,Modifier,go
off,Modifier,go
roasting,Modifier,is
there,Modifier,is
mean,Modifier,old
never,Modifier,came
mean,Modifier,monkey
old,Modifier,monkey
never,Modifier,came
back,Modifier,came
again,Modifier,came
into,Modifier,grew
beautiful,Modifier,garden
again,Modifier,grew
cream,Modifier,puff
of,Modifier,kind
like,Modifier,a
stuffed,Modifier,animal
only,Modifier,is
not,Modifier,is
though,Modifier,is
just,Modifier,dog
like,Modifier,dog
's,Modifier,dog
but,Modifier,is
not,Modifier,is
long,Modifier,hair
why,Modifier,would
funny,Modifier,call
only,Modifier,was
not,Modifier,was
that,Modifier,long
long,Modifier,was
not,Modifier,do
really,Modifier,call
Nan,Modifier,Aunt
really,Modifier,is
not,Modifier,is
not,Modifier,do
too,Modifier,supposed
just,Modifier,draw
of,Modifier,picture
for,Modifier,waiting
black,Modifier,colored
colored,Modifier,tail
black,Modifier,tail
if,Modifier,wanted
to,Modifier,wanted
up,Modifier,pushed
with,Modifier,done
here,Modifier,is
not,Modifier,do
of,Modifier,couple
pine,Modifier,trees
around,Modifier,put
up,Modifier,take
if,Modifier,wanna
of,Modifier,think
's,Modifier,picture
upside,Modifier,holding
down,Modifier,holding
to,Modifier,going
now,Modifier,going
all,Modifier,done
not,Modifier,maybe
just,Modifier,hat
on,Modifier,color
so,Modifier,can
now,Modifier,will
big,Modifier,sun
orange,Modifier,sun
green,Modifier,grass
with,Modifier,make
nice,Modifier,flowers
big,Modifier,rose
red,Modifier,rose
much,Modifier,smaller
than,Modifier,is
more,Modifier,one
over,Modifier,make
orange,Modifier,one
on,Modifier,see
right,Modifier,turn
side,Modifier,turn
up,Modifier,turn
not,Modifier,am
yet,Modifier,am
kinda,Modifier,crazy
without,Modifier,looks
wind,Modifier,day
soft,Modifier,day
wind,Modifier,day
once,Modifier,was
named,Modifier,boy
one,Modifier,grabbed
out,Modifier,took
to,Modifier,took
when,Modifier,got
there,Modifier,got
big,Modifier,frog
fat,Modifier,frog
down,Modifier,ran
not,Modifier,did
big,Modifier,tree
into,Modifier,splash
first,Modifier,splash
at,Modifier,looked
real,Modifier,funny
just,Modifier,jumped
away,Modifier,jumped
one,Modifier,was
when,Modifier,was
home,Modifier,walking
from,Modifier,walking
suddenly,Modifier,blew
out,Modifier,blew
into,Modifier,blew
for,Modifier,get
both,Modifier,looked
that,Modifier,was
no,Modifier,cars
out,Modifier,went
up,Modifier,picked
to,Modifier,happy
back,Modifier,get
a,Object,making
the,Object,pouring
something,Object,making
a,Object,wait
us,Object,bought
something,Object,bought
this,Object,put
it,Object,order
it,Object,get
your,Object,get
all,Object,are
everything,Object,throw
us,Object,let
it,Object,check
cream,Object,looks
your,Object,take
the,Object,run
your,Object,take
on,Object,put
what,Object,doing
what,Object,see
to,Object,need
the,Object,eating
him,Object,heard
my,Object,eating
my,Object,planted
me,Object,give
that,Object,give
my,Object,is
a,Object,plant
you,Object,want
me,Object,help
my,Object,make
the,Object,dig
the,Object,feed
me,Object,helping
my,Object,plant
it,Object,stole
it,Object,ate
some,Object,get
some,Object,get
that,Object,forgot
us,Object,let
a,Object,got
him,Object,named
hair,Object,has
that,Object,call
what,Object,know
what,Object,call
it,Object,call
an,Object,have
a,Object,draw
a,Object,draw
a,Object,draw
anything,Object,want
what,Object,know
a,Object,draw
what,Object,drawing
her,Object,give
a,Object,give
her,Object,give
a,Object,give
this,Object,pushed
this,Object,used
a,Object,put
the,Object,take
a,Object,make
what,Object,think
it,Object,holding
mine,Object,finish
color,Object,hat
her,Object,see
the,Object,draw
some,Object,make
a,Object,make
one,Object,make
it,Object,make
this,Object,make
an,Object,make
the,Object,see
it,Object,turn
the,Object,draw
his,Object,grabbed
him,Object,took
frog,Object,catching
what,Object,saw
what,Object,think
the,Object,see
a,Object,saw
them,Object,get
that,Object,saw
all,Object,picked
her,Object,get
Bob,Object,thanked
it,Subject,looks
they,Subject,are
there,Subject,is
the,Subject,is
they,Subject,are
that,Subject,is
it,Subject,is
it,Subject,is
there,Subject,is
one,Subject,is
that,Subject,is
a,Subject,is
this,Subject,is
you,Subject,bought
I,Subject,can
you,Subject,order
they,Subject,get
you,Subject,go
you,Subject,eat
you,Subject,go
you,Subject,play
you,Subject,get
you,Subject,get
you,Subject,eat
you,Subject,are
I,Subject,see
there,Subject,is
towel,Subject,is
a,Subject,like
this,Subject,is
a,Subject,is
I,Subject,hope
they,Subject,are
they,Subject,are
these,Subject,feel
you,Subject,take
you,Subject,run
there,Subject,are
animals,Subject,are
this,Subject,is
there,Subject,is
the,Subject,is
I,Subject,see
that,Subject,is
there,Subject,is
a,Subject,is
and,Subject,need
he,Subject,started
the,Subject,looked
they,Subject,heard
the,Subject,mooed
the,Subject,neighed
he,Subject,came
he,Subject,said
you,Subject,get
you,Subject,are
I,Subject,planted
it,Subject,is
I,Subject,gotta
I,Subject,worked
I,Subject,want
you,Subject,to
that,Subject,is
the,Subject,is
we,Subject,start
I,Subject,will
you,Subject,be
the,Subject,can
this,Subject,is
he,Subject,eats
you,Subject,would
monkey,Subject,stole
he,Subject,was
all,Subject,are
it,Subject,is
the,Subject,came
that,Subject,was
the,Subject,came
the,Subject,grew
I,Subject,think
it,Subject,might
it,Subject,is
it,Subject,is
Nam,Subject,got
I,Subject,got
mine,Subject,is
he,Subject,has
his,Subject,was
mine,Subject,is
I,Subject,do
they,Subject,call
we,Subject,have
she,Subject,is
I,Subject,do
dad,Subject,supposed
you,Subject,want
I,Subject,know
I,Subject,am
you,Subject,are
you,Subject,are
I,Subject,will
you,Subject,wanted
you,Subject,could
dad,Subject,is
Bell,Subject,is
I,Subject,do
is,Subject,she
you,Subject,wanna
you,Subject,do
I,Subject,am
I,Subject,am
that,Subject,is
I,Subject,hat
we,Subject,can
I,Subject,will
I,Subject,am
I,Subject,am
flower,Subject,is
I,Subject,will
I,Subject,will
I,Subject,will
you,Subject,hafta
I,Subject,am
it,Subject,looks
that,Subject,is
there,Subject,is
some,Subject,is
it,Subject,is
there,Subject,was
a,Subject,was
who,Subject,grabbed
he,Subject,grabbed
he,Subject,took
he,Subject,got
you,Subject,do
he,Subject,saw
he,Subject,ran
he,Subject,did
he,Subject,looked
the,Subject,jumped
Bob,Subject,was
he,Subject,saw
the,Subject,blew
all,Subject,blew
Bob,Subject,shouted
I,Subject,will
he,Subject,looked
there,Subject,was
cars,Subject,was
he,Subject,went
the,Subject,was
she,Subject,thanked
no,,
nothing,,
pictures,,
well,,
pretty,,
yes,,
okay,,
silverware,,
Mcdonalds,,
yes,,
bye,,
bye,,
just,,
well,,
oh,,
toothbrush,,
baby,,
yes,,
wow,,
well,,
well,,
tablecloth,,
what,,
up,,
brownie,,
dear,,
mean,,
sure,,
there,,
back,,
well,,
no,,
only,,
well,,
dad,,
daddy,,
well,,
orange,,
down,,
